 NumResultRows,No. of columns in output view,TableAccessCount,Joins,Sorting,Aggregation,Clause, TotalIOCount, AMPCPUTime, ParserCPUTime, MaxAMPCPUTime, MaxAmpIO, SpoolUsage, AMPCPUTimeNorm, ParserCPUTimeNorm, MaxAMPCPUTimeNorm,MaxCPUAmpNumberNorm, SeqRespTime, ReqIOKB, ReqPhysIO, ReqPhysIOKB
186,2,1,0,0,0,1,"9,821",2.252,0,1.136,"4,958","28,292,096",52.763,0,26.616,0,5.27,"1,159,678","8,381","1,042,390"
7,3,2,0,1,1,1,"3,865",2.944,0,1.48,"1,950","3,003,392",68.977,0,34.676,0,3.43,"504,083","2,602","379,365"
186,2,1,0,0,0,1,"9,857",2.296,0,1.16,"4,996","28,292,096",53.794,0,27.178,1,5.23,"1,159,682","8,376","1,042,358"
7,3,2,0,1,1,1,"3,840",2.952,0,1.48,"1,928","3,003,392",69.164,0,34.676,1,3.54,"501,819","2,650","385,322"
186,2,1,0,0,0,1,"9,750",2.264,0,1.132,"4,929","28,292,096",53.044,0,26.522,1,5.28,"1,152,052","8,386","1,043,453"
7,3,2,0,1,1,1,"3,864",2.972,0,1.492,"1,945","3,003,392",69.633,0,34.957,0,3.44,"504,740","2,631","383,453"
186,2,1,0,0,0,1,"9,821",2.256,0,1.132,"4,998","28,292,096",52.857,0,26.522,1,5.4,"1,159,678","8,380","1,042,358"
7,3,2,0,1,1,1,"3,845",2.948,0,1.476,"1,928","3,003,392",69.07,0,34.582,1,3.56,"503,480","2,676","389,818"
186,2,1,0,0,0,1,"9,821",2.276,0,1.14,"4,998","28,292,096",53.326,0,26.71,1,5.35,"1,159,678","8,380","1,042,358"
7,3,2,0,1,1,1,"3,862",3.032,0,1.52,"1,966","3,003,392",71.039,0,35.613,1,3.48,"504,974","2,637","384,552"
186,2,1,0,0,0,1,"9,819",2.256,0,1.128,"4,996","28,292,096",52.858,0,26.429,1,5.16,"1,159,680","8,378","1,042,358"
7,3,2,0,1,1,1,"3,867",2.928,0,1.468,"1,966","3,003,392",68.602,0,34.395,1,3.29,"504,981","2,636","384,521"
186,2,1,0,0,0,1,"9,821",2.272,0,1.14,"4,998","28,292,096",53.232,0,26.71,1,5.46,"1,159,678","8,380","1,042,358"
7,3,2,0,1,1,1,"3,850",3.02,0,1.516,"1,966","3,003,392",70.757,0,35.519,1,3.4,"503,071","2,674","389,384"
186,2,1,0,0,0,1,"9,821",2.272,0,1.14,"4,998","28,292,096",53.232,0,26.71,0,5.28,"1,159,678","8,381","1,042,485"
7,3,2,0,1,1,1,"3,845",2.944,0,1.48,"1,966","3,003,392",68.977,0,34.676,1,3.41,"503,073","2,674","389,397"
186,2,1,0,0,0,1,"9,781",2.26,0,1.132,"4,958","28,292,096",52.951,0,26.522,1,5.28,"1,159,678","8,380","1,042,358"
0,1,0,0,0,0,0,39,0,0.016,0,15,0,0,0.374,0, ?,0.01,827,4,64
186,2,1,0,0,0,1,"9,817",2.304,0,1.152,"4,956","28,292,096",53.982,0,26.991,1,5.28,"1,159,682","8,376","1,042,358"
460,8,5,0,0,0,1,"1,409",0.192,0.104,0.1,742,"583,680",4.498,2.436,2.343,0,0.48,"129,158",823,"99,523"
186,2,1,0,0,0,1,"9,819",2.26,0,1.136,"4,998","28,292,096",52.951,0,26.616,0,5.32,"1,159,680","8,378","1,042,358"
460,8,5,0,0,0,1,"1,447",0.168,0.096,0.092,742,"583,680",3.935,2.249,2.155,1,0.43,"129,137",822,"99,513"
186,2,1,0,0,0,1,"9,821",2.248,0,1.128,"4,958","28,292,096",52.67,0,26.429,1,5.27,"1,159,678","8,380","1,042,358"
460,8,5,0,0,0,1,"1,409",0.164,0,0.084,706,"583,680",3.842,0,1.968,1,0.44,"129,158",829,"99,776"
186,2,1,0,0,0,1,"9,819",2.244,0,1.132,"4,998","28,292,096",52.576,0,26.522,1,5.34,"1,159,680","8,379","1,042,485"
0,1,0,0,0,0,0,41,0.008,0.028,0.004,15,0,0.186,0.656,0.093,1,0.02,890,4,65
186,2,1,0,0,0,1,"9,817",2.276,0,1.144,"4,996","28,292,096",53.325,0,26.803,1,5.18,"1,159,682","8,377","1,042,485"
7,3,2,0,1,1,1,"3,816",2.948,0,1.48,"1,927","3,003,392",69.071,0,34.676,1,3.51,"502,725","2,674","388,960"
186,2,1,0,0,0,1,"9,751",2.26,0,1.136,"4,928","28,292,096",52.951,0,26.616,1,5.19,"1,152,109","8,385","1,042,977"
4,4,4,0,0,1,0,"17,551",8.296,0,4.152,"8,825","83,591,168",194.374,0,97.281,1,10.87,"2,165,394","10,714","1,348,276"
186,2,1,0,0,0,1,"9,770",2.264,0.004,1.132,"4,910","28,292,096",53.044,0.093,26.522,1,5.25,"1,154,406","8,393","1,044,489"
4,4,4,0,0,1,0,"17,472",6.236,0,3.12,"8,781","83,591,168",146.108,0,73.101,0,9.26,"2,158,231","10,683","1,346,209"
186,2,1,0,0,0,1,"9,757",2.272,0,1.14,"4,934","28,292,096",53.232,0,26.71,1,5.39,"1,152,503","8,387","1,043,981"
4,4,4,0,0,1,0,"17,550",5.784,0,2.892,"8,861","83,591,168",135.518,0,67.759,1,8.6,"2,165,315","10,723","1,348,448"
186,2,1,0,0,0,1,"9,764",2.268,0,1.14,"4,896","28,292,096",53.139,0,26.71,1,5.27,"1,153,136","8,396","1,044,873"
4,4,4,0,0,1,0,"17,530",5.948,0,2.98,"8,890","83,591,168",139.361,0,69.821,1,8.76,"2,166,236","10,741","1,353,082"
186,2,1,0,0,0,1,"9,763",2.272,0,1.152,"4,896","28,292,096",53.232,0,26.991,1,5.32,"1,152,845","8,392","1,044,169"
4,4,4,0,0,1,0,"17,549",6.412,0,3.212,"8,834","83,591,168",150.233,0,75.257,1,9.24,"2,168,023","10,705","1,349,535"
186,2,1,0,0,0,1,"9,759",2.268,0,1.148,"4,936","28,292,096",53.138,0,26.897,1,5.19,"1,152,501","8,389","1,043,981"
4,4,4,0,0,1,0,"17,498",5.716,0,2.876,"8,822","83,591,168",133.925,0,67.384,1,8.43,"2,160,507","10,724","1,349,843"
186,2,1,0,0,0,1,"9,788",2.268,0,1.136,"4,909","28,292,096",53.138,0,26.616,0,5.5,"1,157,333","8,401","1,045,316"
4,4,4,0,0,1,0,"17,538",5.748,0,2.876,"8,885","83,591,168",134.674,0,67.384,1,8.56,"2,165,396","10,732","1,350,606"
186,2,1,0,0,0,1,"9,790",2.284,0,1.148,"4,927","28,292,096",53.513,0,26.897,1,5.32,"1,156,077","8,395","1,045,749"
4,4,4,0,0,1,0,"17,561",5.772,0,2.896,"8,884","83,591,168",135.237,0,67.853,1,8.42,"2,170,308","10,735","1,353,112"
186,2,1,0,0,0,1,"9,802",2.276,0,1.144,"4,934","28,292,096",53.325,0,26.803,1,5.28,"1,153,138","8,394","1,044,873"
4,4,4,0,0,1,0,"17,571",5.744,0,2.892,"8,884","83,591,168",134.581,0,67.759,1,8.39,"2,171,523","10,712","1,351,091"
186,2,1,0,0,0,1,"9,764",2.252,0,1.132,"4,936","28,292,096",52.763,0,26.522,1,5.16,"1,153,136","8,397","1,044,905"
4,4,4,0,0,1,0,"17,565",6.568,0,3.284,"8,875","83,591,168",153.888,0,76.944,1,9.2,"2,170,175","10,724","1,350,985"
